date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-03-01 00:00:00,28.7,24,34,,,,6.2,,1019,
2020-03-02 00:00:00,28.6,24,34,,,,9.4,,1018.9,
2020-03-03 00:00:00,27,22.5,33,,,,8,,1016.6,
2020-03-04 00:00:00,27.1,22.8,31.9,,,,6.1,,1016.5,
2020-03-05 00:00:00,26.1,22,32,,,,8.1,,1017.9,
2020-03-06 00:00:00,25.3,21.4,30.9,,,,8,,1015.9,
2020-03-07 00:00:00,26.5,22.5,32.1,,,,9.4,,1010.5,
2020-03-08 00:00:00,27.6,24,33.5,,,,6.2,,1010,
2020-03-09 00:00:00,24.8,20.5,33.4,,,,10.5,,1016.1,
2020-03-10 00:00:00,22.1,19.2,28.3,9.9,,,13.3,,1018.1,
2020-03-11 00:00:00,21.5,20.2,25.4,0,,,9.7,,1013,
2020-03-12 00:00:00,23.1,19.1,28.2,,,,3.8,,1012.2,
2020-03-13 00:00:00,25.9,21.2,31.5,,,,8.1,,1012.5,
2020-03-14 00:00:00,23.8,19.5,31.4,,,,9.9,,1012.9,
2020-03-15 00:00:00,19.9,17.2,23.7,,,,7.1,,1018.9,
2020-03-16 00:00:00,19.6,14.8,24.5,,,,6,,1017.4,
2020-03-17 00:00:00,20.5,17.5,23.5,,,,7.1,,1013.9,
2020-03-18 00:00:00,20.9,18.6,24.6,,,,5.2,,1011.8,
2020-03-19 00:00:00,20.3,16.5,25.7,,,,7.6,,1011.7,
2020-03-20 00:00:00,22.3,16.2,29.6,,,,4.2,,1012.2,
2020-03-21 00:00:00,23.4,18.3,29.8,,,,6.7,,1012.4,
2020-03-22 00:00:00,23.2,16.6,29.7,,,,5.1,,1016.4,
2020-03-23 00:00:00,25.1,21.7,30,,,,8.9,,1017.2,
2020-03-24 00:00:00,25.8,21.6,30.8,,,,9.2,,1014.1,
2020-03-25 00:00:00,24.7,21.2,31,0.5,,,10.4,,1014.7,
2020-03-26 00:00:00,23.4,20.7,27.1,,,,9,,1016.4,
2020-03-27 00:00:00,25.2,22.2,29.2,,,,7.7,,1013.5,
2020-03-28 00:00:00,25,21.8,29.5,,,,3.7,,1012.3,
2020-03-29 00:00:00,25.4,20.7,30.2,,,,4.2,,1014.9,
2020-03-30 00:00:00,24.6,22.1,30.2,,,,8.4,,1017,
2020-03-31 00:00:00,22.4,19.2,27.9,,,,13.1,,1017.7,
2020-04-01 00:00:00,22,20.2,24.7,,,,11.1,,1013.5,
2020-04-02 00:00:00,18.9,13.2,24.7,,1,,14.8,,1018.5,
2020-04-03 00:00:00,17.1,11.8,23.5,,,,8,,1018.1,
2020-04-04 00:00:00,20.4,16.2,25.7,,,,7.8,,1012.1,
2020-04-05 00:00:00,20.4,15,25.7,,,,5.5,,1010.8,
2020-04-06 00:00:00,18.7,14.2,24.6,,,,9.6,,1018.4,
2020-04-07 00:00:00,14.6,9.4,20.7,,,,5.8,,1025.5,
2020-04-08 00:00:00,13.8,8.2,20,,,,4.2,,1026,
2020-04-09 00:00:00,15.4,9.7,20.7,,,,6.7,,1024.4,
2020-04-10 00:00:00,16.8,11.7,21.2,,,,6.2,,1022.3,
2020-04-11 00:00:00,19.3,16.2,23.7,,,,7.1,,1019.2,
2020-04-12 00:00:00,19.9,14.7,24.7,,,,6.5,,1016.9,
2020-04-13 00:00:00,18.8,12.6,24.8,,,,8.1,,1012.5,
2020-04-14 00:00:00,14.8,9.7,20.5,,,,11.3,,1013.6,
2020-04-15 00:00:00,15,9.7,21.7,,,,8,,1017.6,
2020-04-16 00:00:00,14.5,8.6,22.2,,,,3.1,,1023.9,
2020-04-17 00:00:00,16.4,11.6,22.5,,,,4.6,,1025.7,
2020-04-18 00:00:00,19.2,14.7,25,,,,8,,1022.6,
2020-04-19 00:00:00,20.8,17.5,26.6,,,,8.8,,1018.4,
2020-04-20 00:00:00,21,15,28.7,,,,3.1,,1016,
2020-04-21 00:00:00,18.8,16.4,28.9,,,,12.2,,1019.2,
2020-04-22 00:00:00,17.5,15.2,21.9,,,,7.3,,1018.7,
2020-04-23 00:00:00,20.3,17.2,24.6,,,,6.2,,1014.5,
2020-04-24 00:00:00,21.3,18.9,24.7,,,,10,,1009,
2020-04-25 00:00:00,19.4,16.2,23.2,,,,11.4,,1015.7,
2020-04-26 00:00:00,18.3,16,21.6,,,,15.6,,1025,
2020-04-27 00:00:00,18.6,16.5,21.6,,,,11.7,,1020.3,
2020-04-28 00:00:00,19.2,15,21.3,46,3,,11.6,,1011.1,
2020-04-29 00:00:00,16.6,12.2,23,,,,6.6,,1016.8,
2020-04-30 00:00:00,16.2,11.4,23,,,,3.8,,1019.8,
2020-05-01 00:00:00,16.9,12.5,22.5,,,,5.7,,1021.5,
2020-05-02 00:00:00,14.8,10.5,22.5,,,,4.7,,1023.5,
2020-05-03 00:00:00,17.2,14.5,20.6,,,,10.1,,1018.7,
2020-05-04 00:00:00,16.3,13.4,20.8,,,,4.2,,1012.4,
2020-05-05 00:00:00,14.6,10.4,19.6,,,,16.6,,1013.5,
2020-05-06 00:00:00,12.1,8.5,16.9,,,,7.5,,1024.5,
2020-05-07 00:00:00,14,8.5,19.6,,,,5.6,,1024.6,
2020-05-08 00:00:00,14.2,9.4,19.6,,,,9.6,,1020.4,
2020-05-09 00:00:00,16.6,11.2,22.5,,,,12.6,,1013.6,
2020-05-10 00:00:00,19.6,15,25.2,,,,9.2,,1007.8,
2020-05-11 00:00:00,18.7,11.5,25.3,,,,9,,1014.6,
2020-05-12 00:00:00,13.3,7.8,20.8,,,,2.5,,1017.8,
2020-05-13 00:00:00,14.4,9.2,21,,,,5.3,,1019.4,
2020-05-14 00:00:00,11.6,5.4,21,,,,6.2,,1023.4,
2020-05-15 00:00:00,15.7,10.7,22.5,,,,10.3,,1016,
2020-05-16 00:00:00,20.5,14,28,,,,8.2,,1011.3,
2020-05-17 00:00:00,20.7,15,28.4,,,,6.5,,1014.6,
2020-05-18 00:00:00,18.3,14.7,26.9,,,,11.5,,1018.3,
2020-05-19 00:00:00,19.4,15.2,24.5,,,,7.8,,1014.2,
2020-05-20 00:00:00,20.1,16.5,24.5,,,,6.3,,1010.8,
2020-05-21 00:00:00,15.7,13.2,24.5,,1,,14.6,,1013.9,
2020-05-22 00:00:00,13,11.2,15.5,,,,16.6,,1021.8,
2020-05-23 00:00:00,12.3,8.6,17.7,,,,7.9,,1023.2,
2020-05-24 00:00:00,12.8,8.2,18.5,,,,9.7,,1014.2,
2020-05-25 00:00:00,14.8,9.2,18.4,,,,17.5,,1013.1,
2020-05-26 00:00:00,13.3,9.2,18.6,,,,4.3,,1017.9,
2020-05-27 00:00:00,15.6,9.6,21.1,,,,8.2,,1015.8,
2020-05-28 00:00:00,16.2,10.6,21.7,,,,6.3,,1015.7,
2020-05-29 00:00:00,15.4,10.4,21.8,,,,3.9,,1014.9,
2020-05-30 00:00:00,13.3,8.6,21.7,,,,6.7,,1014.2,
2020-05-31 00:00:00,10.1,6.5,15.1,,,,14.8,,1018.9,
2020-06-01 00:00:00,10.2,5.9,14.3,,,,5.6,,1023,
2020-06-02 00:00:00,10,5,16,,,,5.1,,1021.2,
2020-06-03 00:00:00,12,6.2,17.2,,,,3.7,,1023.7,
2020-06-04 00:00:00,11.8,8.1,17.3,,,,5.5,,1025.6,
2020-06-05 00:00:00,12.3,9,16.6,,,,7.8,,1019.7,
2020-06-06 00:00:00,15.8,15,17.2,,,,11.6,,1014.4,
2020-06-07 00:00:00,15.4,13.6,17.2,,,,3.2,,1015.8,
2020-06-08 00:00:00,14.6,11.5,17,,,,2.5,,1016.1,
2020-06-09 00:00:00,13.7,10.7,19.7,,,,2.9,,1014.6,
2020-06-10 00:00:00,14.3,10.5,20.5,,,,5,,1012.2,
2020-06-11 00:00:00,12.9,9.2,20.5,,,,6.8,,1010.5,
2020-06-12 00:00:00,15.4,11.7,21,,,,7,,1007.2,
2020-06-13 00:00:00,10.4,5,20.9,,,,13,,1022.7,
2020-06-14 00:00:00,8,2,13.7,,,,5.4,,1028.1,
2020-06-15 00:00:00,12.6,10.2,15,,,,10.9,,1022.2,
2020-06-16 00:00:00,18.5,15,24,,,,9.7,,1015.1,
2020-06-17 00:00:00,22,19,27.2,,,,15.1,,1006.5,
2020-06-18 00:00:00,16.9,12.6,27.2,,3,,8.3,,1006.4,
2020-06-19 00:00:00,13.4,9.8,18.6,,,,4.9,,1011.1,
2020-06-20 00:00:00,13.1,9.9,16.7,,,,7,,1012.6,
2020-06-21 00:00:00,14,12,18.2,,,,9.8,,1013.5,
2020-06-22 00:00:00,12.5,9.2,18.2,,,,8.3,,1015.2,
2020-06-23 00:00:00,13.9,12,15.4,,,,7.4,,1006.2,
2020-06-24 00:00:00,12.9,10.8,14.5,,,,11.1,,1006.8,
2020-06-25 00:00:00,10.3,6.2,14.5,,,,10,,1016.9,
